id,Station ID,area,perimeter,CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,B19013001,calculated areas
"0","1",15164894.247381,14925.757219,"181","5",Staten Island,"018100","5018100",,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,SI0203,SI02,SI02 Mid-Island (CD 2 Approximation),"36085018100","4502",32431.39770380000,56268491.45069999993,"99106",30795.379
"0","1",15164894.247381,14925.757219,"208.04","5",Staten Island,"020804","5020804",,Annadale-Huguenot-Prince's Bay-Woodrow,SI0304,SI03,SI03 South Shore (CD 3 Approximation),"36085020804","4503",16137.21000630000,14324579.97849999927,"91379",668335.481
"0","1",15164894.247381,14925.757219,"226.01","5",Staten Island,"022601","5022601",,Annadale-Huguenot-Prince's Bay-Woodrow,SI0304,SI03,SI03 South Shore (CD 3 Approximation),"36085022601","4503",25619.96220560000,18760157.85099999979,"117903",578552.080
"0","1",15164894.247381,14925.757219,"244.01","5",Staten Island,"024401","5024401",,Tottenville-Charleston,SI0305,SI03,SI03 South Shore (CD 3 Approximation),"36085024401","4503",24555.18860930000,22561115.08850000054,"123626",229924.812
"0","1",15164894.247381,14925.757219,"1","3",Brooklyn,"000100","3000100",,Brooklyn Heights,BK0201,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),"36047000100","4302",6611.44395971000,2224101.04987000022,"165188",151883.126
"0","1",15164894.247381,14925.757219,"3.01","3",Brooklyn,"000301","3000301",,Brooklyn Heights,BK0201,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),"36047000301","4302",6525.11133824000,2164337.28426000010,"193158",53647.076
"0","1",15164894.247381,14925.757219,"7","3",Brooklyn,"000700","3000700",,Brooklyn Heights,BK0201,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),"36047000700","4302",6253.28848129000,1881577.58969999989,"180515",30583.722
"0","1",15164894.247381,14925.757219,"20","3",Brooklyn,"002000","3002000",,Sunset Park (West),BK0702,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047002000","4307",5426.03966786000,1620781.08440999989,"77969",121414.378
"0","1",15164894.247381,14925.757219,"29.01","3",Brooklyn,"002901","3002901",,Fort Greene,BK0203,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),"36047002901","4302",4334.05544292000,1167631.22120000003,"22943",317.561
"0","1",15164894.247381,14925.757219,"30","3",Brooklyn,"003000","3003000",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047003000","4310",4749.18789677000,1185319.86684000003,"122861",82272.126
